MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,de_MFCC_1,de_MFCC_2,de_MFCC_3,de_MFCC_4,de_MFCC_5,de_MFCC_6,de_MFCC_7,de_MFCC_8,de_MFCC_9,de_MFCC_10,de_MFCC_11,de_MFCC_12,de_MFCC_13,de_MFCC_14,de_MFCC_15,de_MFCC_16,Centroid,Spread,Energy,FLatness,Slope,Inharmonicity,Tristimulus1,Tristimulus2,Tristimulus3,Harmonic Energy,Noise Energy,Noisiness
-750.4502486740911,13.663634445430247,12.215747498771986,10.487987502884135,8.210787105127718,5.376831264531717,2.803001275420211,0.8996005761824649,-0.7555764947660817,-2.1686713910321527,-2.7452739346460913,-2.5678923027182785,-2.33294797444737,-2.0395516357538828,-1.2282231216047743,-0.2081563301078031,0.7356444664637931,0.88370330800311,0.6580380102728826,0.6024329900641288,0.5155186338608129,0.25915548884292666,0.060621617790735105,-0.010004532311831677,-0.1784981634230643,-0.41270918082727814,-0.44950569910697713,-0.3888249103742717,-0.5286958419599661,-0.7380143042533859,-0.7033693834957535,-0.533433429779899,2518.0202357074204,0.30319741037226333,8.79727303981781e-06,0.08557049185037613,-3.637570926236747e-07,0.19032073020935059,0.027940576896071434,0.020521854981780052,0.951537549495697,0.00929441274384829,0.011535439926582847,0.5537936397868956
-750.205099589942,13.277569475920036,11.260942390949394,10.466069435621517,8.740266158870106,5.034038055788834,2.1786679505428816,1.2160776968472167,-0.44521585621950716,-3.078609600170733,-3.852338454043926,-2.912625160683879,-3.095590783414128,-3.88060576111676,-2.7058661388570426,-0.7445466889090696,0.7356444664637931,0.88370330800311,0.6580380102728826,0.6024329900641288,0.5155186338608129,0.25915548884292666,0.060621617790735105,-0.010004532311831677,-0.1784981634230643,-0.41270918082727814,-0.44950569910697713,-0.3888249103742717,-0.5286958419599661,-0.7380143042533859,-0.7033693834957535,-0.533433429779899,2609.671028189284,0.3031000894332162,7.788650691509247e-06,0.17948946356773376,-2.999316919735902e-07,0.25413694977760315,0.03750300407409668,0.1861145794391632,0.7763823866844177,0.007411236448229579,0.012593732641993732,0.6295302224759973
-751.6881592883994,11.229344731789006,8.857277870857265,7.081616582686885,4.7721589192222105,1.4486716636073602,-0.8460370230386214,-1.4777807979817146,-2.4074083524350156,-3.910136648574218,-3.9732333741630828,-2.6182768014451003,-1.8242548884980794,-1.3638056016765234,0.2976688250862325,2.032849120725519,0.7356444664637931,0.88370330800311,0.6580380102728826,0.6024329900641288,0.5155186338608129,0.25915548884292666,0.060621617790735105,-0.010004532311831677,-0.1784981634230643,-0.41270918082727814,-0.44950569910697713,-0.3888249103742717,-0.5286958419599661,-0.7380143042533859,-0.7033693834957535,-0.533433429779899,2765.703152662658,0.2925222240078106,8.072704076766968e-06,0.22830019891262054,-3.4796100618399514e-07,0.16242100298404694,0.04771411791443825,0.18059822916984558,0.7716876268386841,0.006613541624596608,0.015893837206909168,0.7061611805574185
-752.839777270474,9.203419873948798,6.927383776168796,6.603004498666998,5.243336883423469,1.470659467032643,-0.8904351856189932,-0.7050255675791912,-1.6939873196098891,-4.169817838520039,-4.41943561733625,-2.9950922001332247,-3.667092757968647,-5.293026557297344,-4.384441543712598,-2.730494983232923,0.7356444664637931,0.88370330800311,0.6580380102728826,0.6024329900641288,0.5155186338608129,0.25915548884292666,0.060621617790735105,-0.010004532311831677,-0.1784981634230643,-0.41270918082727814,-0.44950569910697713,-0.3888249103742717,-0.5286958419599661,-0.7380143042533859,-0.7033693834957535,-0.533433429779899,2771.540507377843,0.301386893270955,7.1106478571891785e-06,0.21833135187625885,-3.2033920738845445e-07,0.09991882741451263,0.354165643453598,0.21750910580158234,0.428325355052948,0.0024418919474991723,0.02289992616165553,0.9036418011927471
-755.3539555110867,6.463447307240246,4.688220099929083,3.0783103789541704,1.1137392187245747,-1.3207370474848874,-2.894585956296744,-3.1684859062247157,-3.343092758836585,-3.7766974153863653,-3.5385764838433533,-2.7936423502372496,-2.685998929891898,-2.89825003268255,-2.21109919900817,-0.9534675084616174,0.7356444664638322,0.88370330800311,0.6580380102728831,0.6024329900641289,0.5155186338608132,0.25915548884292705,0.060621617790735396,-0.010004532311831502,-0.17849816342306424,-0.4127091808272781,-0.449505699106977,-0.38882491037427175,-0.5286958419599664,-0.7380143042533863,-0.703369383495754,-0.5334334297798994,2957.0548041820684,0.2958820229605793,7.331371307373047e-06,0.2713218033313751,-3.6580694028329905e-07,0.3031896650791168,0.0735401064157486,0.5177808403968811,0.4086790084838867,0.005986039072117993,0.0215977462829731,0.7829870340470453
-749.2627398756848,14.590636789023563,11.800013660027435,9.02029540100637,5.265890196224048,0.2811514958879125,-3.7894126041417526,-5.994789487420968,-7.7949375385192985,-9.373896173219597,-9.104756227572121,-7.299189244114377,-6.003889703469252,-5.159167283279711,-3.331487760311858,-1.315995067317874,1.7282418933721386,1.8440172249683813,0.6536201055764571,-0.0368052859986337,0.1652392174244192,0.7742059520475152,1.0831730221998908,0.7482820933305471,0.00032632422284337723,-0.5663115007315268,-0.6212487707087265,-0.46897375918977185,-0.5460582393214916,-0.7674980364711139,-0.7535057540027131,-0.46900857719330125,2565.4883028929667,0.30055180041690105,8.007511496543884e-06,0.13970725238323212,-3.235061753907406e-07,0.13421718776226044,0.0,0.0,1.0,1.683091167551666,96.78229426946005,0.9829067731763632
-747.2819926175451,16.471595171038935,13.056927080121232,11.644302406592498,8.744952899270453,2.8711125358423395,-1.1661092614216533,-1.8511637112148567,-3.566583285622304,-6.601178215549984,-6.479729777372661,-3.996598444582202,-3.8463079659834354,-4.760502905475697,-2.670152682233252,0.12288675658847947,27.366685344846324,10.51383011677947,-1.530053224788546,-1.0520521094626505,-1.6073492560778504,1.8881888398597793,1.0040111082413559,-1.2396893192600211,-0.053389264668707956,-1.7258336112326693,0.185441763996882,-0.22624171736849402,-2.1667353071768587,-0.8581738258848193,-1.538576354532832,-1.8893242197358813,2564.6196790980566,0.28492995794330633,1.3304874300956726e-05,0.1587889939546585,-3.5168444823853784e-07,0.0743248239159584,0.0,0.5238944292068481,0.47610560059547424,161.14543800194448,669.8375331894617,0.8060785315842209
-746.3124676576231,18.15169359348431,14.612929676640274,12.443276332096502,10.363784497364765,6.801171113865862,3.195442522075608,0.41186791507630793,-2.721543493382312,-5.467579762125555,-5.549665952725053,-4.122916329837674,-4.368233679469357,-5.569942314005965,-4.654614309775821,-2.1502942883077347,49.80865912852653,13.199330288515428,-3.820001652090392,-0.2325115648981691,-1.4081399714793121,2.9888710515328576,1.745169699424759,-1.996587067231639,-1.0663788965684746,-2.6426970851482032,0.6003148303203262,0.30505759586199965,-3.2183210097359005,-0.8147667306871617,-0.3629025410243335,-3.2677857706959017,2494.875129097879,0.2973945949113446,1.3514421880245209e-05,0.1505228877067566,-3.8980509515005857e-07,0.0,0.0,0.0,0.0,0.0,914.5928955078125,1.0
-745.4323983104973,19.29566152891003,16.254345113000426,15.155911543952175,12.733892540944652,7.5249703602865425,3.834525087453903,2.8618223644101892,0.37902180308105615,-3.9210411148124322,-5.790285443076142,-5.727362498903168,-7.7136776566876115,-10.177879951492592,-9.09653043804244,-6.5539908741675355,58.18814446757509,12.966338958752003,-5.230735406013399,-2.3873293597322993,-2.138388041024287,1.0857928681268691,1.8368888896932063,-2.652072648238883,0.5666247153190619,-1.07853554249052,0.7567756430660754,0.6468937728010863,-4.42903302415319,-0.44832054150782746,-0.3958022118917164,-4.064324234320574,2474.1477791057455,0.298798748129876,1.7012469470500946e-05,0.10052620619535446,-3.7545652671033427e-07,0.07148822396993637,0.2769503593444824,0.30770477652549744,0.4153447151184082,195.26755561393009,779.1212993665387,0.7995999701599171
-734.2549374525975,27.91191642688755,9.582493847705098,-1.2033649989312933,0.779526976837443,8.376685094743756,12.44078367310577,8.297829434931279,-1.9604928909312695,-10.21010259962131,-10.5078774719133,-6.750766186998442,-6.228749577321111,-8.178499449268816,-6.71295324771335,-1.898734264363913,59.62937598399472,10.997827882152421,-7.071298683078557,-5.44403790175836,-2.3148497615198713,-1.6352005129603109,2.593737574857369,-4.040365198040101,1.740981243939833,0.3906101437006988,1.0663202672769294,2.503836813928948,-5.051524504396932,-0.9867808993509395,0.49620479618930263,-4.786287179324418,2245.315970906813,0.23673492164639612,0.5816822461783886,0.11706121265888214,-7.904264278712629e-07,0.06999990344047546,0.24198518693447113,0.3423694968223572,0.4156453609466553,231.66305863421564,816.3301054282844,0.7789460212353067
