MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,de_MFCC_1,de_MFCC_2,de_MFCC_3,de_MFCC_4,de_MFCC_5,de_MFCC_6,de_MFCC_7,de_MFCC_8,de_MFCC_9,de_MFCC_10,de_MFCC_11,de_MFCC_12,de_MFCC_13,de_MFCC_14,de_MFCC_15,de_MFCC_16,Centroid,Spread,Energy,FLatness,Slope,Inharmonicity,Tristimulus1,Tristimulus2,Tristimulus3,Harmonic Energy,Noise Energy,Noisiness
-759.3488098582327,8.24182229144729,7.251910039508472,5.7164761268696065,3.7926138614264495,1.6731781786656588,-0.4359194145934433,-2.3393603454596317,-3.873970008796977,-4.9254817928207375,-5.438545105993568,-5.418983511942589,-4.928394575189882,-4.072220276250645,-2.9832575705849473,-1.803106840645591,0.1839297189465637,0.23696583864799317,0.1736863598592682,0.08588233405436825,-0.007983581238847234,-0.09238459686711802,-0.1569481916743851,-0.1959876851408049,-0.20814578877927523,-0.1973686002326537,-0.1734164854042022,-0.14925938145960266,-0.13526338333657967,-0.1335815047495075,-0.13691530518606768,-0.13274052842006043,1882.2359699019746,0.286746718908751,2.4922192096710205e-06,0.03075197897851467,-4.331225574990891e-07,0.2255481481552124,0.06336373835802078,0.41094598174095154,0.5256902575492859,0.0017250382781855752,0.0029330609857209037,0.6296690601782313
-762.3150945403335,4.245317872548852,3.8341847206387367,3.208135993957946,2.4421431689677133,1.6174487848507024,0.805717222211377,0.05731539740550606,-0.6034698798573911,-1.175544548030421,-1.671947169524327,-2.1078459534696607,-2.4895571431195935,-2.8080857384704467,-3.0391868919781277,-3.149869118399498,0.1839297189465637,0.23696583864799317,0.1736863598592682,0.08588233405436825,-0.007983581238847234,-0.09238459686711802,-0.1569481916743851,-0.1959876851408049,-0.20814578877927523,-0.1973686002326537,-0.1734164854042022,-0.14925938145960266,-0.13526338333657967,-0.1335815047495075,-0.13691530518606768,-0.13274052842006043,2327.942927748275,0.2872116255770645,2.2277235984802246e-06,0.12023985385894775,-4.91583400066882e-07,0.22251540422439575,0.05615720897912979,0.37108153104782104,0.5727613568305969,0.0014276655558124636,0.003106725664846554,0.6851472477037458
-763.7630983796769,2.293499218449291,2.1555250703576783,1.9391680831087095,1.662541570234301,1.3469299732603583,1.0137591781178155,0.6819151174276362,0.36590812654199134,0.0751607326395155,-0.1855792405632682,-0.4149621775640514,-0.6133464523022674,-0.7812114454966523,-0.9181237362062531,-1.022524934332048,0.1839297189465637,0.23696583864799317,0.1736863598592682,0.08588233405436825,-0.007983581238847234,-0.09238459686711802,-0.1569481916743851,-0.1959876851408049,-0.20814578877927523,-0.1973686002326537,-0.1734164854042022,-0.14925938145960266,-0.13526338333657967,-0.1335815047495075,-0.13691530518606768,-0.13274052842006043,2150.2803929948036,0.2875927417627809,1.2740492820739746e-06,0.11268284916877747,-4.285929082893824e-07,0.16311651468276978,0.14701755344867706,0.3611903786659241,0.4917920231819153,0.0013286759592172886,0.003348363146227858,0.7159151486096396
-764.5139442154269,1.2446843058873607,1.145365790189067,0.9920975399551955,0.8016857353799511,0.594689574958298,0.3929056428226595,0.21671626328049176,0.08263339420812406,0.0013432811203978184,-0.02350780372212871,0.004358635210495954,0.0744446657060229,0.1709032450547763,0.2746140602171581,0.3656409971181957,0.1839297189465637,0.23696583864799317,0.1736863598592682,0.08588233405436825,-0.007983581238847234,-0.09238459686711802,-0.1569481916743851,-0.1959876851408049,-0.20814578877927523,-0.1973686002326537,-0.1734164854042022,-0.14925938145960266,-0.13526338333657967,-0.1335815047495075,-0.13691530518606768,-0.13274052842006043,2315.870190237183,0.2762365748673501,1.3597309589385986e-06,0.14938171207904816,-4.886033168745513e-07,0.18912644684314728,0.03397958725690842,0.35617613792419434,0.6098442673683167,0.0017335659423761327,0.003950776292950634,0.6950278729520447
-764.095711447259,1.7899396545729913,1.5555517476968068,1.1888490494707722,0.7233353340032438,0.20133694077949615,-0.33002973262655483,-0.8233242253099493,-1.2352440830289053,-1.5306482842556144,-1.6857533418827169,-1.6901979658726334,-1.5477865610661299,-1.275854359179331,-0.903334177439691,-0.4677327927351746,0.18392971894660654,0.2369658386479935,0.17368635985926853,0.08588233405436846,-0.007983581238847133,-0.09238459686711803,-0.15694819167438523,-0.1959876851408052,-0.2081457887792756,-0.1973686002326541,-0.17341648540420251,-0.14925938145960296,-0.13526338333658006,-0.13358150474950778,-0.13691530518606787,-0.13274052842006054,2219.2405902790297,0.28788908489733883,1.6530975699424744e-06,0.12464355677366257,-3.981534731775355e-07,0.23143836855888367,0.013531799428164959,0.0,0.9864681959152222,0.0020128952610145804,0.004544745824222684,0.6930458323579094
-762.7742998321936,3.64575515757487,3.370904767249042,2.931577690539104,2.3543836556184505,1.6736767405322475,0.9289921820378085,0.1621881737546288,-0.5854489599661877,-1.27588672511613,-1.8766010509363877,-2.3622449506701706,-2.715642049903681,-2.9280896874613194,-2.999025696640447,-2.935169856282804,0.5614022305769036,0.7410019114187774,0.5923576237133946,0.3752371011537724,0.12587740851588333,-0.11916769460364188,-0.3292619466016584,-0.4830966042249311,-0.5705914822734006,-0.593854325671939,-0.5660123619468062,-0.5065223856706572,-0.43373843634713044,-0.35815438492375773,-0.2800767076572229,-0.1927878766172593,2424.8774456153724,0.2822337528690216,2.2407621145248413e-06,0.12532301247119904,-4.394627366574724e-07,0.07259689271450043,0.0,0.06384078413248062,0.9361591935157776,0.002686726505600342,0.004357735981501213,0.6186044697491468
-761.7654497274515,4.977513000385254,4.434750225125949,3.602278945414902,2.575965084836397,1.467973488834369,0.3901862017049901,-0.5608023218145304,-1.3145567217091791,-1.8320979717144443,-2.105524014126914,-2.1530613034596926,-2.0114410737713526,-1.7276978619092853,-1.352122591064067,-0.9333406658178703,0.34916613491877135,0.4576068501431483,0.35629048492492776,0.2092298750538,0.04215078427956276,-0.11924091625460724,-0.2539366761199533,-0.3482049626279247,-0.3968435964835536,-0.40347285864341215,-0.3791693248086693,-0.3386769905732225,-0.294907140820303,-0.25416694736371237,-0.21470376996847657,-0.169252250832004,2110.65876421344,0.2869198569443867,3.1925737857818604e-06,0.10334623605012894,-4.3829627574131136e-07,0.06828589737415314,0.0,0.16822944581508636,0.831770658493042,0.002639366977369653,0.004167607787543668,0.6122555072520146
-759.7549072782568,7.688438436043704,6.769880752369605,5.377248254783387,3.688546979660881,1.9014926291282814,0.19728168756471082,-1.2887110988914372,-2.4829426846945224,-3.373687267221868,-3.9964866975767572,-4.410230138707893,-4.671190748124199,-4.812459602094144,-4.83430520476378,-4.7076264140538004,0.1846392367050355,0.23594197445826529,0.16534138678361435,0.06269880566210859,-0.053698050045006274,-0.16477825158065124,-0.25408769287357147,-0.3100668631591923,-0.32742043890274347,-0.3076456452507426,-0.2583260261475485,-0.19084269477740365,-0.11695684941268916,-0.04562069791360252,0.01854448694694148,0.07463577885331588,2207.106854132629,0.27460379611625385,3.0919909477233887e-06,0.06911793351173401,-5.340425964122013e-07,0.06166530027985573,0.0,0.18882760405540466,0.8111724257469177,0.0014725462267286828,0.004613878697704549,0.7580605618222086
-759.9437399425121,7.271694844656193,5.959436091950217,4.061451473266978,1.8931710474631935,-0.2558922067297886,-2.156050785321596,-3.6346650083464525,-4.579299224189098,-4.964466903180851,-4.873142042431895,-4.470385635489971,-3.924551131848159,-3.3246710084401476,-2.655239047143417,-1.8452862161126107,0.04376705832373084,0.05439839150325515,0.03329765016867571,0.002500364672074736,-0.032321688209987806,-0.06479980088764513,-0.08902997108666155,-0.10059215204498176,-0.09723508509790879,-0.07911971477409924,-0.04861757398460184,-0.009755767430455246,0.032535666731169664,0.0731985909702105,0.10769397079368259,0.13243097778704255,1932.9392140505663,0.28555024061229795,2.9085204005241394e-06,0.0637148767709732,-4.564706463718992e-07,0.11536113172769547,0.0,0.0,1.0,0.001548625631546479,0.003600299721295137,0.6992332330683693
-759.7206638080904,7.607929422644094,6.334558709697695,4.4490471372457,2.2507441289355397,0.06198933668997482,-1.8380965101878517,-3.264615366425782,-4.150820401788688,-4.540761010208387,-4.555028382336584,-4.341103923729119,-4.023498843575712,-3.6681645408622394,-3.2708442877370336,-2.771580632466292,-0.13519752606754623,-0.18024284351947048,-0.14969770921871894,-0.10559064083484779,-0.05544980220039332,-0.006103301238241513,0.03759500174212419,0.07312237336828054,0.10028413643806183,0.12112622576075532,0.13940920794510092,0.15917270910094639,0.18260317357238764,0.2082717821401014,0.23091429132389296,0.24303476339801278,2054.128232979565,0.283804811815638,1.8421560525894165e-06,0.07393494248390198,-4.219054430905164e-07,0.16269542276859283,0.14290271699428558,0.45920687913894653,0.3978903889656067,0.0018008546908405874,0.0029906569975408463,0.6241572998335075
